5293713409738744|03|2030|319
5293717320489309|05|2032|636
5293718703796249|01|2030|394
5293711397151718|04|2029|252
5293719482151994|07|2030|122
5293715368616098|04|2024|384
5293718331380912|10|2027|483
5293711348945827|01|2025|214
5293716781246751|12|2034|814
5293718017584749|04|2032|526
5293713664722998|12|2027|112
5293719794127701|04|2033|647
5293715691896479|03|2027|653
5293711310875171|11|2034|666
5293716909386431|07|2027|222
5293717745713819|11|2026|923
5293717224467920|03|2024|871
5293715857395168|09|2034|259
5293712802542711|07|2028|145
5293713696803329|03|2031|248
5293715303739549|07|2028|142
5293716307927451|03|2029|750
5293717895692677|10|2028|652
5293715638124974|12|2028|405
5293712094600371|07|2024|214
5293717687796704|02|2025|189
5293714827507332|09|2024|651
5293714024837967|03|2032|672
5293711732661603|10|2032|434
5293716620040836|10|2032|937
5293718076877574|08|2034|907
5293716061001832|05|2025|519
5293711087881677|01|2027|995
5293712836198743|05|2029|445
5293714632662778|03|2025|985
5293711239125638|11|2028|217
5293716047695196|09|2024|587
5293714148130409|05|2032|177
5293713564763783|06|2028|544
5293717550788800|08|2027|993
5293714085780707|08|2026|514
5293714733564231|05|2028|666
5293717158842061|01|2028|366
5293713220405394|11|2025|825
5293711836048700|03|2031|237
5293719174339425|09|2028|816
5293719568509862|04|2025|799
5293712141848186|12|2030|911
5293716111882459|08|2027|882
5293712923788420|01|2033|681
5293719671814767|10|2028|545
5293717201368809|02|2034|720
5293716723971751|04|2030|430
5293717210739844|11|2034|402
5293718893757243|10|2032|430
5293711406889011|07|2034|733
5293711089095064|09|2026|853
5293717099736265|12|2026|205
5293711536251349|06|2029|445
5293713840696052|01|2032|615
5293713422618568|12|2033|183
5293717592341163|04|2034|595
5293719210430041|11|2031|474
5293717056636551|01|2028|988
5293719090788899|06|2030|657
5293718989326254|03|2026|246
5293711753161761|11|2032|254
5293713430382098|09|2029|921
5293713793558501|05|2024|853
5293719577712654|04|2029|210
5293712089526174|08|2031|469
5293713910091429|07|2025|719
5293716102898935|09|2024|480
5293716367154095|07|2034|121
5293717159692475|09|2024|612
5293711079103090|10|2024|972
5293718885144087|04|2024|593
5293711691307842|05|2031|519
5293716022107597|07|2034|389
5293717199877014|02|2029|624
5293711969441603|09|2028|468
5293711219671847|04|2025|184
5293711665409899|01|2034|613
5293716918121948|01|2025|305
5293719834180595|12|2031|600
5293714779992905|04|2024|392
5293714814245556|08|2026|728
5293717373915108|07|2025|312
5293715312820322|12|2031|972
5293712025513935|11|2031|417
5293712648792724|08|2026|912
5293714582960404|01|2029|966
5293712600814412|02|2027|953
5293711091586455|04|2024|969
5293717252525222|03|2030|296
5293714799066513|12|2033|529
5293712043349140|10|2025|422
5293715341376469|09|2030|525
5293715787641797|08|2030|367
5293711711167110|11|2031|301
5293712962660381|08|2030|918
5293719356601805|07|2034|478
5293714482457289|06|2026|181
5293719395066756|01|2028|786
5293719620101922|05|2024|224
5293712752240432|05|2024|109
5293716065666028|11|2031|132
5293719684665959|07|2024|952
5293711532319452|04|2026|979
5293711205599318|04|2029|201
5293719793496080|10|2024|873
5293714003327441|09|2027|282
5293717865314373|11|2033|750
5293716769048722|03|2030|459
5293719119524308|07|2028|185
5293714003470679|04|2033|619
5293716247989355|09|2033|312
5293716346878977|01|2031|938
5293719714343229|03|2024|223
5293712289218932|12|2031|171
5293712693612497|01|2031|208
5293713547020485|07|2028|310
5293712467909801|07|2028|343
5293717644531273|11|2030|197
5293711870614307|07|2031|694
5293716797514403|04|2027|187
5293712999771965|03|2032|757
5293713129512046|02|2029|380
5293716721630951|07|2029|779
5293711263737836|09|2034|592
5293714575568040|01|2033|630
5293711749547206|05|2024|161
5293715766147268|03|2034|333
5293719292697866|04|2034|458
5293716715481040|11|2031|815
5293711534683713|04|2032|935
5293711950734882|03|2025|807
5293715523796457|06|2024|197
5293719721667111|05|2033|800
5293716059976604|02|2024|485
5293716195790111|05|2024|219
5293711592841182|12|2028|115
5293717273486030|10|2029|916
5293713805301483|10|2025|592
5293715374247822|09|2032|880
5293717885476289|10|2024|383
5293715922055518|12|2028|101
5293716612239019|05|2032|342
5293712667651017|03|2032|275
5293718054602955|11|2034|355
5293716822333082|12|2029|167
5293713581225049|03|2024|722
5293713421348886|10|2028|133
5293717518129370|06|2034|774
5293714314090860|12|2027|677
5293712607016266|06|2030|884
5293711476489191|09|2032|425
5293714036242212|08|2032|482
5293711322273948|05|2026|687
5293719939625863|05|2031|514
5293717559250028|07|2024|194
5293715471044001|07|2032|620
5293719907267898|05|2028|582
5293715650474573|04|2027|163
5293713447907176|05|2031|430
5293717550481121|02|2031|186
5293713726211290|05|2034|481
